date,pnl_usd,trade_num
2026-04-23,1252.16,12
2026-04-27,1252.16,13
2026-04-29,1721.72,14
2026-04-30,704.34,15
2026-05-04,1017.38,16
2026-05-06,-793.44,17
2026-05-07,-794.58,18
2026-05-11,-768.18,19
2026-05-12,-780.66,20
2026-05-13,469.56,21
2026-05-14,391.30,22
2026-05-15,860.86,23
2026-05-21,-815.36,1
2026-05-22,391.30,2
2026-05-25,1252.16,3
2026-05-28,782.60,1
2026-05-29,-1147.40,2
2026-06-01,782.60,3
2026-06-02,-537.40,4
2026-06-03,782.60,5
2026-06-04,-783.12,6
2026-06-09,782.60,7
2026-06-10,782.60,8
2026-06-11,782.60,9
2026-06-12,782.60,10
2026-06-16,-787.40,11
2026-06-17,-967.40,12
2026-06-18,782.60,13
2026-06-22,-1562.40,14
2026-06-24,782.60,15
2026-06-26,782.60,16
2026-06-29,782.60,17
2026-07-02,-577.40,18
2026-07-05,-805.32,17
2026-07-06,782.60,19
2026-07-08,860.86,18
2026-07-09,-792.40,21
2026-07-10,939.12,20
