Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
75,Exit long,2025-11-30 18:00,session flat,25475,10,5086950,8037.6,0.16,12.4,22243.8,0.44,-13456.2,-0.26,105070,210.14,26
75,Entry long,2025-11-28 11:05,ORB long,25434.75,10,5086950,8037.6,0.16,12.4,22243.8,0.44,-13456.2,-0.26,105070,210.14,26
76,Exit long,2025-12-02 10:10,Exit,25618,10,5126950,-3362.4,-0.07,12.4,3993.8,0.08,-3356.2,-0.07,101707.6,203.42,2
76,Entry long,2025-12-02 10:00,ORB long,25634.75,10,5126950,-3362.4,-0.07,12.4,3993.8,0.08,-3356.2,-0.07,101707.6,203.42,2
77,Exit short,2025-12-03 10:00,Exit,25517,10,5097950,-5462.4,-0.11,12.4,2893.8,0.06,-5456.2,-0.11,96245.2,192.49,2
77,Entry short,2025-12-03 09:50,ORB short,25489.75,10,5097950,-5462.4,-0.11,12.4,2893.8,0.06,-5456.2,-0.11,96245.2,192.49,2
78,Exit short,2025-12-04 11:55,Exit,25642.75,10,5118200,-10362.4,-0.20,12.4,17193.8,0.34,-10356.2,-0.20,85882.8,171.77,18
78,Entry short,2025-12-04 10:25,ORB short,25591,10,5118200,-10362.4,-0.20,12.4,17193.8,0.34,-10356.2,-0.20,85882.8,171.77,18
79,Exit short,2025-12-08 12:25,Exit,25595.75,10,5151700,32537.6,0.63,12.4,32543.8,0.63,-4506.2,-0.09,118420.4,236.84,32
79,Entry short,2025-12-08 09:45,ORB short,25758.5,10,5151700,32537.6,0.63,12.4,32543.8,0.63,-4506.2,-0.09,118420.4,236.84,32
80,Exit long,2025-12-09 15:55,session flat,25703,10,5127600,12987.6,0.25,12.4,19543.8,0.38,-3956.2,-0.08,131408,262.82,71
80,Entry long,2025-12-09 10:00,ORB long,25638,10,5127600,12987.6,0.25,12.4,19543.8,0.38,-3956.2,-0.08,131408,262.82,71
81,Exit long,2025-12-10 09:55,Exit,25603.5,10,5127050,-6362.4,-0.12,12.4,3893.8,0.08,-6356.2,-0.12,125045.6,250.09,2
81,Entry long,2025-12-10 09:45,ORB long,25635.25,10,5127050,-6362.4,-0.12,12.4,3893.8,0.08,-6356.2,-0.12,125045.6,250.09,2
82,Exit short,2025-12-11 09:55,Exit,25427.5,10,5097400,11887.6,0.23,12.4,11893.8,0.23,-3056.2,-0.06,136933.2,273.87,2
82,Entry short,2025-12-11 09:45,ORB short,25487,10,5097400,11887.6,0.23,12.4,11893.8,0.23,-3056.2,-0.06,136933.2,273.87,2
83,Exit short,2025-12-12 10:25,Exit,25325.5,10,5101450,36337.6,0.71,12.4,36343.8,0.71,-12556.2,-0.25,173270.8,346.54,8
83,Entry short,2025-12-12 09:45,ORB short,25507.25,10,5101450,36337.6,0.71,12.4,36343.8,0.71,-12556.2,-0.25,173270.8,346.54,8
84,Exit short,2025-12-15 10:15,Exit,25130.75,10,5060850,34687.6,0.69,12.4,34693.8,0.69,-1156.2,-0.02,207958.4,415.92,6
84,Entry short,2025-12-15 09:45,ORB short,25304.25,10,5060850,34687.6,0.69,12.4,34693.8,0.69,-1156.2,-0.02,207958.4,415.92,6
85,Exit short,2025-12-17 09:55,Exit,25324.25,10,5059600,-5262.4,-0.10,12.4,7193.8,0.14,-5256.2,-0.10,202696,405.39,2
85,Entry short,2025-12-17 09:45,ORB short,25298,10,5059600,-5262.4,-0.10,12.4,7193.8,0.14,-5256.2,-0.10,202696,405.39,2
86,Exit short,2025-12-22 11:10,Exit,25703.75,10,5129750,-11012.4,-0.21,12.4,1293.8,0.03,-11006.2,-0.21,191683.6,383.37,7
86,Entry short,2025-12-22 10:35,ORB short,25648.75,10,5129750,-11012.4,-0.21,12.4,1293.8,0.03,-11006.2,-0.21,191683.6,383.37,7
87,Exit long,2025-12-23 09:50,Exit,25705.5,10,5146750,-5662.4,-0.11,12.4,1793.8,0.03,-5656.2,-0.11,186021.2,372.04,1
87,Entry long,2025-12-23 09:45,ORB long,25733.75,10,5146750,-5662.4,-0.11,12.4,1793.8,0.03,-5656.2,-0.11,186021.2,372.04,1
88,Exit long,2025-12-25 18:00,session flat,25883.5,10,5165650,11037.6,0.21,12.4,13243.8,0.26,-4906.2,-0.09,197058.8,394.12,37
88,Entry long,2025-12-24 10:10,ORB long,25828.25,10,5165650,11037.6,0.21,12.4,13243.8,0.26,-4906.2,-0.09,197058.8,394.12,37
89,Exit short,2025-12-26 15:55,session flat,25866.75,10,5172050,-1312.4,-0.03,12.4,5193.8,0.10,-10356.2,-0.20,195746.4,391.49,71
89,Entry short,2025-12-26 10:00,ORB short,25860.25,10,5172050,-1312.4,-0.03,12.4,5193.8,0.10,-10356.2,-0.20,195746.4,391.49,71
90,Exit short,2025-12-30 09:45,Exit,25736.5,10,5147300,-12.4,0.00,12.4,0,0.00,0,0.00,195734,391.47,0
90,Entry short,2025-12-30 09:45,ORB short,25736.5,10,5147300,-12.4,0.00,12.4,0,0.00,0,0.00,195734,391.47,0
91,Exit short,2025-12-31 09:50,Exit,25629.75,10,5120850,-5112.4,-0.10,12.4,2593.8,0.05,-5106.2,-0.10,190621.6,381.24,1
